GENESIS-Tabelle: 12411-02-03-5-B
Bevölkerung nach Geschlecht und Altersgruppen (17) -;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stichtag 31.12. - regionale Ebenen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stichtag: 31.12.2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.);Altersgruppen (unter 1 bis 75 u.m.)
;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt
01;Schleswig-Holstein;77286;75913;101061;132067;85036;63419;157643;163243;164018;166912;163797;201248;258715;232593;188073;311326;354362;2896712;39591;38851;51993;67805;43726;33068;82686;84964;83790;82076;80646;99559;128524;114651;91163;148044;148320;1419457;37695;37062;49068;64262;41310;30351;74957;78279;80228;84836;83151;101689;130191;117942;96910;163282;206042;1477255
02;Hamburg;61527;55110;65257;78729;45839;34534;112486;148012;153975;141244;123205;125082;143394;121805;94725;154400;181855;1841179;31582;28135;33612;40832;23642;18038;56857;72834;76731;70338;62204;63271;72899;60715;45973;71402;72983;902048;29945;26975;31645;37897;22197;16496;55629;75178;77244;70906;61001;61811;70495;61090;48752;82998;108872;939131
03;Niedersachsen;224222;216286;280476;368124;239711;176910;462228;479311;473919;464325;448884;548335;683764;639331;526651;825456;924515;7982448;114752;111251;144318;189463;123382;93096;243580;252293;244219;232545;223916;273132;343293;319106;259083;396027;379787;3943243;109470;105035;136158;178661;116329;83814;218648;227018;229700;231780;224968;275203;340471;320225;267568;429429;544728;4039205
04;Bremen;20588;18981;23077;29431;17988;14718;44882;50103;48238;43899;39725;43955;53056;48888;41482;67253;76722;682986;10615;9810;11898;15252;9338;7726;23580;26237;25058;22654;20322;22371;27160;24167;19959;31350;30538;338035;9973;9171;11179;14179;8650;6992;21302;23866;23180;21245;19403;21584;25896;24721;21523;35903;46184;344951
05;Nordrhein-Westfalen;521540;495276;634872;821069;522539;383950;1053688;1149459;1125965;1089356;1031842;1218039;1516098;1420214;1185427;1763476;1999841;17932651;267845;255354;326614;423146;270512;201035;550818;592719;572984;543768;510961;605799;760906;706550;579279;826499;803842;8798631;253695;239922;308258;397923;252027;182915;502870;556740;552981;545588;520881;612240;755192;713664;606148;936977;1195999;9134020
06;Hessen;184136;174838;225310;286364;177017;130303;366848;403359;404965;399505;380120;433961;524501;484526;397310;620741;672005;6265809;94248;89621;115794;147186;91858;68259;192332;207951;206838;199190;188544;216710;264692;242424;195150;293894;278353;3093044;89888;85217;109516;139178;85159;62044;174516;195408;198127;200315;191576;217251;259809;242102;202160;326847;393652;3172765
07;Rheinland-Pfalz;114872;110044;140306;179846;115098;86252;231551;251190;248271;243253;227898;271671;346657;342341;288082;426119;461393;4084844;59220;56305;72337;93089;59431;44852;120748;131268;127722;122512;113438;135075;174026;170986;142332;205279;188956;2017576;55652;53739;67969;86757;55667;41400;110803;119922;120549;120741;114460;136596;172631;171355;145750;220840;272437;2067268
